"POS_T","datetime","tagtime","Latitude","Longitude","Satellites","Residual_Error"
739098.629735458,2023-07-31 15:06:49,2023-07-31 15:06:50,41.1253322618447,-70.7763601222814,11,12.5280694551446
739099.000570225,2023-08-01 00:00:49,2023-08-01 00:00:50,41.2278026092614,-70.6350197427014,8,7.00054888987964
739099.280431845,2023-08-01 06:43:49,2023-08-01 06:43:50,41.1149927459006,-70.7980279734703,8,5.55983308864314
739099.317239072,2023-08-01 07:36:49,2023-08-01 07:36:50,41.091772185168,-70.7983281359099,5,12.0752089212682
