Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Peak Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	PFC Num Inf Pts	Notes	Harmonics?	SNR	RMS	FreqRange	CallType
35	Waveform 1	1	6752.843213000	6754.541851000	2.392	277.157	bp23_205d001_2kHz.wav								20 Hz?	Y	43	188.8	LF	LFR
35	Spectrogram 1	1	6752.843213000	6754.541851000	2.392	277.157	bp23_205d001_2kHz.wav	23.438	0.5080	15.625	23.438	15.625	31.250	2.000	20 Hz?	Y	43	188.8	LF	LFR
37	Waveform 1	1	6759.446117000	6760.764186000	0.000	114.594	bp23_205d001_2kHz.wav								20 Hz?	Y	47	189.8	LF	LFR
37	Spectrogram 1	1	6759.446117000	6760.764186000	0.000	114.594	bp23_205d001_2kHz.wav	23.438	0.5080	15.625	23.438	15.625	31.250	2.000	20 Hz?	Y	47	189.8	LF	LFR
39	Waveform 1	1	14824.281000000	14825.227780000	8.458	277.157	bp23_205d002_2kHz.wav								40 Hz	Y	30	184.8	HF	HFD
39	Spectrogram 1	1	14824.281000000	14825.227780000	8.458	277.157	bp23_205d002_2kHz.wav	39.062	0.2540	15.625	39.062	31.250	46.875	1.000	40 Hz	Y	30	184.8	HF	HFD
41	Waveform 1	1	14630.563500000	14631.371050000	11.387	287.817	bp23_205d002_2kHz.wav								40 Hz	Y	41	186.8	HF	HFD
41	Spectrogram 1	1	14630.563500000	14631.371050000	11.387	287.817	bp23_205d002_2kHz.wav	39.062	0.1905	15.625	39.062	31.250	46.875	1.000	40 Hz	Y	41	186.8	HF	HFD
43	Waveform 1	1	6650.597057000	6651.910485000	0.000	325.127	bp23_205d001_2kHz.wav								20 Hz?	Y	42	190.8	LF	LFDB
43	Spectrogram 1	1	6650.597057000	6651.910485000	0.000	325.127	bp23_205d001_2kHz.wav	23.438	0.5715	15.625	23.438	15.625	31.250	0.000	20 Hz?	Y	42	190.8	LF	LFDB
