Selection	View	Channel	Begin.Time..s.	End.Time..s.	Low.Freq..Hz.	High.Freq..Hz.	Begin.File	Peak.Freq..Hz.	Dur.90...s.	BW.90...Hz.	Center.Freq..Hz.	Freq.5...Hz.	Freq.95...Hz.	PFC.Num.Inf.Pts	Notes	Harmonics.	SNR	RMS	FreqRange	CallType	seconds_elapsed	Time_of_Day	Time_Only
25	Waveform 1	1	10443.19817	10443.84328	0	469.036	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	pulse?	Y	38	189.8	HF	HFD	10443.19817	2023-07-24 19:06:53.19817	19:06:53
25	Spectrogram 1	1	10443.19817	10443.84328	0	469.036	bp23_205d002_2kHz.wav	39.062	0.1905	15.625	39.062	31.25	46.875	3	pulse?	Y	38	189.8	HF	HFD	10443.19817	2023-07-24 19:06:53.19817	19:06:53
27	Waveform 1	1	10724.41161	10725.25165	0	277.157	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	40 Hz	Y	30	186.8	HF	HFD	10724.41161	2023-07-24 19:11:34.41161	19:11:34
27	Spectrogram 1	1	10724.41161	10725.25165	0	277.157	bp23_205d002_2kHz.wav	39.062	0.254	15.625	39.062	31.25	46.875	3	40 Hz	Y	30	186.8	HF	HFD	10724.41161	2023-07-24 19:11:34.41161	19:11:34
29	Waveform 1	1	10930.38695	10931.18986	0	429.061	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	40 Hz	Y	41	187.8	HF	HFD	10930.38695	2023-07-24 19:15:00.38695	19:15:00
29	Spectrogram 1	1	10930.38695	10931.18986	0	429.061	bp23_205d002_2kHz.wav	46.875	0.1905	15.625	46.875	39.062	54.688	3	40 Hz	Y	41	187.8	HF	HFD	10930.38695	2023-07-24 19:15:00.38695	19:15:00
31	Waveform 1	1	12202.6191	12203.96966	4.229	183.883	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz/downsweep	Y	23	182.8	LF	LFR	12202.6191	2023-07-24 19:36:12.6191	19:36:12
31	Spectrogram 1	1	12202.6191	12203.96966	4.229	183.883	bp23_205d002_2kHz.wav	23.438	0.5715	15.625	23.438	15.625	31.25	4	20 Hz/downsweep	Y	23	182.8	LF	LFR	12202.6191	2023-07-24 19:36:12.6191	19:36:12
33	Waveform 1	1	13601.51687	13602.30585	0	351.777	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	40 Hz?	Y	45	187.8	HF	HFD	13601.51687	2023-07-24 19:59:31.51687	19:59:31
33	Spectrogram 1	1	13601.51687	13602.30585	0	351.777	bp23_205d002_2kHz.wav	39.062	0.1905	15.625	39.062	31.25	46.875	0	40 Hz?	Y	45	187.8	HF	HFD	13601.51687	2023-07-24 19:59:31.51687	19:59:31
35	Waveform 1	1	6752.843213	6754.541851	2.392	277.157	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz?	Y	43	188.8	LF	LFR	6752.843213	2023-07-24 18:05:22.843213	18:05:22
35	Spectrogram 1	1	6752.843213	6754.541851	2.392	277.157	bp23_205d001_2kHz.wav	23.438	0.508	15.625	23.438	15.625	31.25	2	20 Hz?	Y	43	188.8	LF	LFR	6752.843213	2023-07-24 18:05:22.843213	18:05:22
37	Waveform 1	1	6759.446117	6760.764186	0	114.594	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz?	Y	47	189.8	LF	LFR	6759.446117	2023-07-24 18:05:29.446117	18:05:29
37	Spectrogram 1	1	6759.446117	6760.764186	0	114.594	bp23_205d001_2kHz.wav	23.438	0.508	15.625	23.438	15.625	31.25	2	20 Hz?	Y	47	189.8	LF	LFR	6759.446117	2023-07-24 18:05:29.446117	18:05:29
39	Waveform 1	1	14824.281	14825.22778	8.458	277.157	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	40 Hz	Y	30	184.8	HF	HFD	14824.281	2023-07-24 20:19:54.281	20:19:54
39	Spectrogram 1	1	14824.281	14825.22778	8.458	277.157	bp23_205d002_2kHz.wav	39.062	0.254	15.625	39.062	31.25	46.875	1	40 Hz	Y	30	184.8	HF	HFD	14824.281	2023-07-24 20:19:54.281	20:19:54
41	Waveform 1	1	14630.5635	14631.37105	11.387	287.817	bp23_205d002_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	40 Hz	Y	41	186.8	HF	HFD	14630.5635	2023-07-24 20:16:40.5635	20:16:40
41	Spectrogram 1	1	14630.5635	14631.37105	11.387	287.817	bp23_205d002_2kHz.wav	39.062	0.1905	15.625	39.062	31.25	46.875	1	40 Hz	Y	41	186.8	HF	HFD	14630.5635	2023-07-24 20:16:40.5635	20:16:40
43	Waveform 1	1	6650.597057	6651.910485	0	325.127	bp23_205d001_2kHz.wav	NA	NA	NA	NA	NA	NA	NA	20 Hz?	Y	42	190.8	LF	LFDB	6650.597057	2023-07-24 18:03:40.597057	18:03:40
43	Spectrogram 1	1	6650.597057	6651.910485	0	325.127	bp23_205d001_2kHz.wav	23.438	0.5715	15.625	23.438	15.625	31.25	0	20 Hz?	Y	42	190.8	LF	LFDB	6650.597057	2023-07-24 18:03:40.597057	18:03:40
