Whale_ID,Selection,View,Channel,Begin.Time..s.,End.Time..s.,Low.Freq..Hz.,High.Freq..Hz.,Peak.Freq..Hz.,Dur.90...s.,Begin.File,BW.90...Hz.,Center.Freq..Hz.,Freq.5...Hz.,Freq.95...Hz.,Time.95..Rel.,PFC.Num.Inf.Pts,Notes,Harmonics,SNR,dB.RMS,FreqRange,CallType,seconds_elapsed,Time_of_Day,Time_Only
,418,Spectrogram 1,1,50148.8178,50149.61481,9.118,30.089,,0.512,,11.719,19.531,11.719,23.438,,,,,26,173.8,LF,LFC,50148.8178,03:22.8,4:03:22
,423,Spectrogram 1,1,50218.35241,50219.44729,7.294,52.145,,0.512,,7.812,19.531,15.625,23.438,,,,,23,167.8,LF,LFC,50218.35241,04:32.4,4:04:32
,424,Spectrogram 1,1,50224.60518,50226.42462,3.328,93.196,,0.896,,11.719,19.531,15.625,27.344,,,,,21,165.8,LF,LFD,50224.60518,04:38.6,4:04:38
,425,Spectrogram 1,1,50240.75473,50241.85766,6.383,31.001,,0.64,,7.812,19.531,15.625,23.438,,,,,23,166.8,LF,LFC,50240.75473,04:54.8,4:04:54
,426,Spectrogram 1,1,50256.09974,50257.18657,9.118,56.649,,0.64,,7.812,19.531,15.625,23.438,,,,,23,166.8,LF,LFC,50256.09974,05:10.1,4:05:10
,427,Spectrogram 1,1,50274.84195,50276.05759,2.411,48.212,,0.64,,7.812,19.531,15.625,23.438,,,,,21,164.8,LF,LFC,50274.84195,05:28.8,4:05:28
,428,Spectrogram 1,1,50290.66682,50291.85026,8.206,53.033,,0.512,,7.812,19.531,15.625,23.438,,,,,23,166.8,LF,LFC,50290.66682,05:44.7,4:05:44
,429,Spectrogram 1,1,50306.44659,50307.61393,9.118,47.007,,0.512,,7.812,19.531,15.625,23.438,,,,,23,166.8,LF,LFC,50306.44659,06:00.4,4:06:00
,430,Spectrogram 1,1,50322.73784,50323.80857,7.232,51.828,,0.512,,7.812,19.531,15.625,23.438,,,,,21,164.8,LF,LFC,50322.73784,06:16.7,4:06:16
,431,Spectrogram 1,1,50338.60296,50339.74614,7.294,49.417,,0.64,,7.812,19.531,15.625,23.438,,,,,21,164.8,LF,LFC,50338.60296,06:32.6,4:06:32
,436,Spectrogram 1,1,50372.8405,50374.32182,10.03,38.295,,0.512,,11.719,23.438,19.531,31.25,,,,,25,167.8,LF,LFD,50372.8405,07:06.8,4:07:06
,437,Spectrogram 1,1,50380.77952,50382.18032,11.853,83.165,,0.384,,7.812,23.438,19.531,27.344,,,,,25,170.8,LF,LFD,50380.77952,07:14.8,4:07:14
,438,Spectrogram 1,1,50390.61618,50391.63861,7.232,54.238,,0.768,,15.625,15.625,7.812,23.438,,,,,10,157.8,LF,LFC,50390.61618,07:24.6,4:07:24
