Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Center Freq (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	Sel.(#)	Notes	Harmonics?	SNR	RMS	FreqRange	CallType
394	Waveform 1	1	49318.189620000	49319.318764268	10.030	56.583						sel. 394	20 Hz	Y	28	173.8	LF	LFD
394	Spectrogram 1	1	49318.189620000	49319.318764268	10.030	56.583	0.5120	11.719	19.531	15.625	27.344	sel. 394	20 Hz	Y	28	173.8	LF	LFD
400	Waveform 1	1	49791.455863988	49792.921074109	6.383	61.021						sel. 400	20 Hz	Y	14	159.8	LF	LFD
400	Spectrogram 1	1	49791.455863988	49792.921074109	6.383	61.021	0.7680	15.625	23.438	11.719	27.344	sel. 400	20 Hz	Y	14	159.8	LF	LFD
408	Waveform 1	1	49829.970374274	49831.516090446	10.942	76.554						sel. 408	20 Hz	Y	12	163.8	LF	LFD
408	Spectrogram 1	1	49829.970374274	49831.516090446	10.942	76.554	0.5120	7.812	23.438	19.531	27.344	sel. 408	20 Hz	Y	12	163.8	LF	LFD
424	Waveform 1	1	50224.605183636	50226.424620380	3.328	93.196						sel. 424	20 Hz	Y	21	165.8	LF	LFD
424	Spectrogram 1	1	50224.605183636	50226.424620380	3.328	93.196	0.8960	11.719	19.531	15.625	27.344	sel. 424	20 Hz	Y	21	165.8	LF	LFD
436	Waveform 1	1	50372.840503795	50374.321815127	10.030	38.295						sel. 436	20 Hz	Y	25	167.8	LF	LFD
436	Spectrogram 1	1	50372.840503795	50374.321815127	10.030	38.295	0.5120	11.719	23.438	19.531	31.250	sel. 436	20 Hz	Y	25	167.8	LF	LFD
437	Waveform 1	1	50380.779517712	50382.180322992	11.853	83.165						sel. 437	20 Hz	Y	25	170.8	LF	LFD
437	Spectrogram 1	1	50380.779517712	50382.180322992	11.853	83.165	0.3840	7.812	23.438	19.531	27.344	sel. 437	20 Hz	Y	25	170.8	LF	LFD
58	Waveform 1	1	32058.945065511	32060.954478027	2.095	37.709						sel. 58	nfc 20 Hz? (2)	Y	12	157.8	LF	LFR
58	Spectrogram 1	1	32058.945065511	32060.954478027	2.095	37.709	1.6640	11.719	3.906	3.906	15.625	sel. 58	nfc 20 Hz? (2)	Y	12	157.8	LF	LFR
